"district","hour","mode1","mode2","mode3"
"020","9am",10.0212,54.5419,35.437
"020","10am",12.0597,54.3289,33.6114
"020","11am",11.9146,50.3608,37.7246
"020","12am",12.0222,48.8768,39.101
"020","1pm",9.2815,47.4813,43.2372
"020","2pm",10.8762,42.9607,46.1631
"020","3pm",10.5822,43.2825,46.1353
"020","4pm",7.9322,45.7361,46.3316
"020","5pm",7.997,48.7177,43.2852
"020","6pm",9.8897,52.2648,37.8455
"020","7pm",13.2477,48.3487,38.4036
"020","8pm",11.1756,48.445,40.3794
"020","9pm",10.6507,50.3501,38.9992
"020","10pm",10.4236,52.2504,37.326
"020","11pm",9.8953,52.7628,37.3419
"020","12pm",11.105,53.2272,35.6678
"020","1am",11.105,53.2272,35.6678
"020","2am",10.7656,54.6567,34.5777
"020","3am",10.6103,54.5946,34.7951
"021","4am",14.8064,60.5205,24.6732
"021","5am",14.6807,62.0056,23.3137
"021","6am",15.2594,61.2861,23.4544
"021","7am",14.4889,64.3587,21.1524
"021","8am",9.148,63.4096,27.4424
"021","9am",14.3609,63.0911,22.548
"021","10am",16.0541,60.84,23.1059
"021","11am",19.0225,60.0204,20.9572
"021","12am",13.7003,52.9875,33.3121
"021","1pm",18.9827,52.1207,28.8965
"021","2pm",19.6806,50.0485,30.2709
"021","3pm",24.3318,48.1163,27.552
"021","4pm",21.2983,49.4553,29.2464
"021","5pm",22.0868,47.6141,30.2992
"021","6pm",17.1743,51.3601,31.4656
"021","7pm",20.5189,51.1684,28.3127
"021","8pm",18.7499,56.6027,24.6474
"021","9pm",18.2714,55.354,26.3746
"021","10pm",17.4965,57.2416,25.2619
"021","11pm",16.4314,58.8714,24.6972
"021","12pm",15.458,59.0279,25.5141
"021","1am",15.007,59.5007,25.4922
"021","2am",15.0365,59.9068,25.0567
"021","3am",14.9007,60.2689,24.8304
"022","4am",24.2807,48.7606,26.9587
"022","5am",24.2807,48.7606,26.9587
"022","6am",24.4755,48.3496,27.1749
"022","7am",24.0291,46.2115,29.7594
"022","8am",27.0726,47.1073,25.8201
"022","9am",25.4521,49.5281,25.0199
"022","10am",22.767,54.6652,22.5678
"022","11am",19.5415,55.3473,25.1112
"022","12am",22.5685,53.2201,24.2114
"022","1pm",16.6328,58.5793,24.7879
"022","2pm",19.6864,57.3484,22.9651
"022","3pm",21.7224,56.1478,22.1297
"022","4pm",21.3473,55.1292,23.5235
